"Cenario";"Ano";"Replicacao";"NAfastMen15";"NDiasFalta";"PercAfastMen15";"PercFalta";"Pev_Tipico";"Pev_Trajeto";"Pev_DoenOcup";"Pev_NRelac";"TaxaFaltas";"Pev_Afmenor15";"Pev_Afmaior15";"Pev_Safast";"Pev_Obito";"Funcionarios";"FolhadePagamento";"SalarioMedio";"DespesaSATProjetada";"SATProjetado";"FAPProjetado";"IndiceDoSAT";"HorasPorDia";"CustoMDO";"CustoTotal"
"SemIniciativa";2017;11;10,710842717;18,3795959385543;0,100673458177594;0,0999582973654619;0,00299969110367109;0,00499907781825381;0,00200032743295857;0,00200186534451464;0,00099874989979468;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;12;8,51560240793772;20,2855388469848;0,0999334325524993;0,100110876130948;0,00300048738460208;0,00499788056833515;0,00200164537438981;0,0019989281806513;0,000999925652148794;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;13;14,496446396472;21,7533347967246;0,0984524636982312;0,099290542142371;0,00300115942686761;0,00500000748534298;0,0020000275794335;0,00200069624973033;0,00100143123875693;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;14;8,63885407556296;18,9877548419019;0,100537128545467;0,100529615480491;0,00299868217314258;0,00499977224497441;0,00200105038764842;0,00200102917994991;0,00100050964809654;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;15;10,6298870954827;18,4660969792649;0,0989300505003943;0,101147272765744;0,00300038275216838;0,00500124420098804;0,002001507053801;0,00200014396425172;0,00100137134182887;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;16;12,5772319611069;16,4524473932241;0,0998416201342123;0,101062534949245;0,00300049452348773;0,00499992843491836;0,00199975211387382;0,00200107335744215;0,000999924850572448;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;17;10,5539488267205;21,1016247195512;0,101360357911006;0,0998356922502687;0,00300107010647271;0,00500225208550527;0,00199942459917544;0,00200116849858462;0,000999721603139194;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;18;10,6978186951502;13,2737567837884;0,0995855710459491;0,0999187324447624;0,00299874907125708;0,00500081777894408;0,00200124080900485;0,00199985991198496;0,00100008249467364;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;19;9,39658876894634;19,9195716923635;0,0980924339728993;0,100915801201279;0,00299986759660112;0,00499980956532235;0,00200174621045823;0,00199812984242874;0,00100127045648582;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;20;8,6593928542258;17,0289239675851;0,100752411257365;0,100377140755977;0,00300031207587032;0,00500001161813045;0,00199935309266392;0,0020010550326602;0,00100015450835111;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;21;13,8549934086817;22,0738807557;0,100244053386292;0,0983640894661999;0,0030003427751976;0,00500113765834459;0,00200133891992879;0,00199836152645797;0,000998826687802722;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;22;2,51954083632569;26,6345007171823;0,0997408585592936;0,101357747887264;0,00299894866441447;0,00499998245790237;0,00200063928199859;0,00199860024400954;0,000999403912544083;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;23;14,3582501652421;15,699748002679;0,0990558797769779;0,0987415033544101;0,002999014076357;0,00499958831373378;0,00200038521420544;0,00199950433437056;0,00100045715398589;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;24;12,6693559779112;19,4724377654566;0,0994245417286209;0,100742541429885;0,00299989602447776;0,00500046243175546;0,00200025822549744;0,00200003227458625;0,00100032603061464;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;25;8,56623807508753;15,1849737519304;0,0992570595472127;0,101972469171502;0,00300012591293416;0,00500067986124346;0,00199985602210773;0,00200007980172812;0,000999738394561698;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;26;10,2153855844661;19,6664210595633;0,0993485057302022;0,0989418091706093;0,00300170297724233;0,00500106606096035;0,00199971362561161;0,0019995598339537;0,000998732415056228;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;27;8,16365167539186;20,6225033084225;0,099663086340427;0,102056936832674;0,00299895404232781;0,00500212065840776;0,00199930678675786;0,00200073256664106;0,000999321801285518;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;28;16,6107909336279;17,1096341730129;0,101125457461806;0,0998336054817311;0,0030004012660211;0,00499962368494763;0,00200019333219436;0,00199936648542837;0,000999507764777102;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;29;10,7318651135911;21,7045906463741;0,101974599726232;0,0982436368338764;0,00300117436026853;0,00499961715602336;0,00199997787064983;0,0020000809315359;0,00100083458300294;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;30;10,422547978623;17,5757346177761;0,100697259298597;0,099614900579425;0,00299908105727288;0,00500133273420161;0,00200076025232026;0,00199946842223225;0,000998164442743382;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;31;17,9818582580872;21,6835060913747;0,0984231789961756;0,100120190856942;0,00299903590238713;0,00500167476801303;0,00200138617468011;0,00199860283020644;0,000999771649526171;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;32;15,8433310773325;17,7557063754026;0,100578314148415;0,100119672716968;0,0029995491853458;0,00500084882302433;0,00200065630115955;0,00199924621646474;0,00100021212239578;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;33;8,54291555276668;23,2482605121007;0,100939922207259;0,100455600564118;0,00299946081226896;0,00499981255325269;0,0019982500883308;0,00199937650194497;0,00100412271689705;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;34;11,4997812924703;25,7305752521988;0,099546177887319;0,100303844667287;0,00300151101061658;0,00500104144625398;0,00199971129149763;0,00199927209040847;0,00100029657489042;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;35;9,84466107514583;17,4216537327939;0,0987097487939283;0,0983882102739586;0,00300077675330515;0,00499883298170653;0,00199983363540917;0,00199919608483633;0,000999809751766862;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;36;6,25153800406391;17,3494056776554;0,0968901953041492;0,0998378160690021;0,00299949730824575;0,00499997851077545;0,0020020827015695;0,00200004086027725;0,000999219467910922;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;37;1,96775396080457;23,1353243563981;0,0985647599409264;0,0993756986371261;0,00300051512448871;0,00500023655007229;0,00200153251053696;0,00199930866457738;0,00100117260561089;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;38;6,96955382555288;23,9734528924435;0,0992032223878355;0,0983211255889817;0,00300006470097282;0,00500053655172405;0,00200014745588484;0,0019986182547945;0,000999631195675164;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;39;7,22652631639096;18,214608594609;0,102723204980085;0,1004218971458;0,0030007471539513;0,00499873359899235;0,00200101953089224;0,00200061780338358;0,000998433786861718;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;40;11,5264351129938;17,340027989659;0,10170638454509;0,10065225210831;0,00299980681751696;0,00499841888972675;0,00200080169311077;0,00200027081388992;0,00100049690440786;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;41;12,1033342125205;24,2567985103333;0,0999564305098908;0,101478002151195;0,00299866479890177;0,00500033068540074;0,00200168984376188;0,00200182274275656;0,00100071991116655;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;42;6,76422924421418;18,9323857944693;0,102424308791967;0,100396723913586;0,00300012392301614;0,004999679742805;0,0020000854362306;0,0019997520756042;0,00100018282521368;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;43;12,0675749737559;20,8922915545453;0,0986716667453964;0,100925519381679;0,00299997458405362;0,0050004130026417;0,00199879898198007;0,00199972577992407;0,00100079686202819;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;44;6,54958146045908;18,2273240067281;0,101187002484903;0,0994057025562646;0,00300112610101064;0,00500048102201905;0,00200045012085547;0,00199979895540065;0,000999999610272639;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;45;4,42691430740855;22,1593983175843;0,100061617897277;0,101460456342887;0,00300071876335181;0,00500186782113161;0,00200068160371544;0,00199940418211702;0,0010016400085135;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;46;9,26196374901188;22,9851163649842;0,100434991483783;0,0990287066867759;0,0030005183875854;0,00500118918692324;0,00199982801172204;0,00199889815882317;0,00100149276787643;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;47;7,71418736172159;25,4070350338791;0,0986351101341538;0,0996083486585259;0,0030004600968808;0,00500007929959166;0,00200006701743289;0,00199920480887264;0,00100031445768231;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;48;11,0269497013124;20,8924739262009;0,0987340739577791;0,0983238001447669;0,0030001177628239;0,00499837804066946;0,00199753556797597;0,00199935106003636;0,00100045233035319;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;49;14,2159799405659;16,749691285133;0,09987704035474;0,101760521983301;0,00300118488158081;0,00500018139338712;0,00199985866719759;0,00199818336186151;0,0010018898130423;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;50;8,44273161441245;17,5826842092485;0,103506737584561;0,100034128071816;0,00300152661428454;0,00500025917114981;0,0020019488485709;0,00200126192279785;0,000999943972275922;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;51;5,71431274438191;19,8807045527405;0,100013770673656;0,102310216815909;0,00300041798050195;0,00499993835275006;0,00200043841891948;0,00199969540960284;0,00100002361934193;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;52;3,30354737475992;20,6723758782673;0,100219524511376;0,0992673952803541;0,00299776603676354;0,00499919750219551;0,00199823502017226;0,0020009078550353;0,0010002957130921;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;53;11,3858370871038;19,6879264439323;0,100490242756255;0,100337828497007;0,00299987566089859;0,00500115112056881;0,00199974463806569;0,00199949037829655;0,000999603888176617;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;54;4,26492598466772;18,8594740266845;0,100636393938276;0,100365618429825;0,00300061782187017;0,00499952441897914;0,00200159360863824;0,00200182136333748;0,00100057912902037;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;55;12,2385608983983;21,6882824831007;0,101375529753853;0,100054394083808;0,00299993809641202;0,00499909965536775;0,00199973434201893;0,00200087234354574;0,00100009150206864;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;56;2,44902534264635;27,1219574591261;0,100130326588318;0,100732526870835;0,00299958502139897;0,00500007334360163;0,00199935253775518;0,00199868096214096;0,00100083979741809;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;57;1,9066200788431;21,1670025517433;0,100920429216537;0,101079719973775;0,0029997056233007;0,00500063558633024;0,00200057858479978;0,0020009116021936;0,00100019390149814;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;58;10,176573246953;22,8178297212739;0,0988587990808673;0,0997948406659374;0,00299983523929262;0,00500017147946577;0,00199953907390821;0,0020020308963813;0,00100072585852388;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;59;7,72187207097094;20,2316549818212;0,0995179436683534;0,100331043490046;0,00300050756050921;0,00499796437470114;0,00200150615368785;0,00199863838688732;0,00100141120893747;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;60;15,6024518843195;16,5949750360067;0,0992689138430038;0,0981358883795038;0,00300116611468403;0,0050000598532212;0,00199934451290529;0,00199839035302724;0,000999156331921073;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;61;13,3731778878144;19,6270302812024;0,101464919628743;0,0991422265497041;0,00300114967559648;0,00499930898240436;0,00199989752427709;0,00200061675351118;0,000998399599071237;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;62;6,44836517747469;21,143473028671;0,0989228338965322;0,100595429399759;0,00300057579497325;0,0050009382969244;0,0020007597954078;0,00199951517291152;0,000999638595236905;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;63;13,0846271686004;18,0554656563437;0,100425938385473;0,100657695764345;0,00300064925962881;0,0050029569237972;0,00200007870778151;0,00200195264289468;0,000998702139200047;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;64;14,1439218463335;19,6686476651441;0,100047822496119;0,100222934126174;0,00300136119097882;0,00499998394641804;0,00199845288562738;0,00200037309873532;0,00100103785483589;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;65;9,45871379190002;21,4907836760196;0,098995732946724;0,0986317392104402;0,00299976043082699;0,00499958649054324;0,00200078644903761;0,00199960098507745;0,000998361428603836;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;66;10,6252924954541;21,6309184348672;0,101894201852555;0,0983153231058952;0,00299890667980758;0,00499840849778131;0,00199970760374631;0,00200070092306586;0,000999269325711741;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;67;6,53590916220746;25,0635790045985;0,0989352974514994;0,0991368204307967;0,00300050411324417;0,00500106557435792;0,00199933524006075;0,00200107194117944;0,000999780582677394;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;68;12,4386607343395;24,7956056959455;0,0999484799608027;0,0974003515152021;0,0029986282781281;0,00500001258342678;0,00200051689929401;0,00199993468460467;0,00100081112888708;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;69;12,2861970832503;19,9293996889712;0,100369125516185;0,100383627095556;0,00300041463456296;0,00500194868299747;0,00199931566882561;0,0020002179174582;0,000999470044732799;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;70;10,2412138140805;18,7868382669581;0,101412525412413;0,10013745459042;0,00299965114739258;0,0049998786568355;0,00200078862452505;0,00199914237430706;0,000999953971252252;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;71;10,4197894696078;15,4503799716016;0,100050522372919;0,101547302180637;0,00299998070623733;0,00499954699513826;0,00200018210896547;0,00199882014358808;0,00100034078659654;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;72;3,12765094481465;20,0854693284983;0,099479281007307;0,101725141915083;0,00299939080937848;0,00499989160092919;0,00200055775783099;0,00200070135320267;0,000999999742997173;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;73;6,04165148995078;16,9666813493671;0,0982757311037661;0,0986431233928139;0,00299926613053415;0,00499923222930142;0,00200149777157461;0,00200038889879942;0,00100191886245555;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;74;12,8286814208838;18,9726566883607;0,0998666149263841;0,100088907831227;0,00299942566907568;0,00500094643754858;0,00199951893789441;0,00199963717772949;0,00100016472273512;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;75;10,792452701367;17,7927646138992;0,0991234220805334;0,100735368539194;0,00299926583182546;0,00499978572132339;0,00199946014802058;0,00199988821061357;0,00100178999282272;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;76;8,19912500548297;27,0196048652745;0,100290475641951;0,0993278461409394;0,00299993158095975;0,00499862333619412;0,0019996875781993;0,00200128431147516;0,00099793220434154;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;77;7,53413733998624;16,9645549841956;0,100035987875485;0,100891565135366;0,00300037007780805;0,00499927600634454;0,00199805881131145;0,00200048869590932;0,000997929731493772;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;78;7,63548344837856;24,5221306901737;0,101294612506687;0,0984863536124512;0,0029994038124164;0,00499882780244629;0,00199805622042441;0,00200123559731325;0,00100028959473199;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;79;6,22007562120875;17,2682556383883;0,101104845040646;0,0994777350930564;0,00299935765264707;0,00499924679994112;0,00200119697317446;0,00199908732999894;0,000999570457035424;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;80;11,4138081851591;16,772101932298;0,0995809917238115;0,102251152479006;0,00300102364717535;0,00500047683220982;0,00200105255795526;0,00199850958048824;0,00100056373289537;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;81;8,01008087117705;13,8062645851971;0,100571011579403;0,100359460817594;0,00300191597578732;0,00500005564148456;0,00199948873814094;0,00199854074509243;0,000999221185172478;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;82;6,7758198629316;15,0807038766266;0,0988175917802753;0,0984455726653423;0,00300164444220574;0,00499928494727802;0,00199963345832987;0,00200075263883804;0,0010008378656883;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;83;16,4363194448502;19,9579736658371;0,100110585558833;0,100795969282994;0,00299986248106537;0,00499918998622682;0,00199867735203935;0,00199986637548133;0,000998219431378028;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;84;7,94370310443343;22,392483662761;0,0998606341296514;0,0994362817173249;0,00299884959322417;0,005000492821153;0,00200067528062648;0,0020009642540787;0,000999859482372997;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;85;9,69869502919567;21,4513258149425;0,101381721153896;0,100678514293527;0,00299984641450427;0,00499971767288415;0,00200007411291662;0,00200073877858319;0,000999216766925925;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;86;14,378657832006;16,0920819593949;0,100331855083645;0,10025397006923;0,00300084584031996;0,00499953183748299;0,00199757154015645;0,00199928478759818;0,000999061528229385;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;87;12,1617382201223;29,6960114993557;0,0996000470107072;0,0990070306720126;0,00300067374290862;0,00499902432862341;0,00199957561505524;0,00200015922680268;0,00100015860637743;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;88;13,2217294496446;17,0246302749532;0,0995469506299889;0,0999584480355164;0,00300184663995931;0,00499958524845994;0,00199972067557684;0,00199863207602021;0,00100060861507505;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;89;7,14056166438294;21,6575386804927;0,100390225375127;0,0989171441114323;0,00300137720171874;0,00500028856870743;0,0020016481680243;0,00200081874184959;0,00100054460134526;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;90;10,7131168358035;20,1481435378627;0,101612451304206;0,101404887246575;0,00299985639330017;0,00500114832762061;0,00200072648050063;0,00199807267010703;0,00100091636027022;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;91;14,5796733370655;21,3553990944981;0,0994887660435497;0,0996373575091872;0,00300078240415529;0,00500124109701165;0,00199965009468529;0,00199860891251738;0,000999311680932381;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;92;8,2139738911167;20,9775250251006;0,100533752108395;0,0990447466874414;0,00300215847762816;0,00499957034472801;0,00200037496192717;0,00200125371637604;0,00100156447488428;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;93;9,20665870399122;21,0708135960307;0,10019245797134;0,0995701723412568;0,00299984966057047;0,00499909959490182;0,0020008974475461;0,00200094959188416;0,00100060008021676;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;94;12,4199904351147;16,724911615029;0,101957840322688;0,100065652449051;0,00299940204567207;0,00500005954571627;0,00200052162755308;0,00200079890452693;0,00100187092931057;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;95;11,1520014584554;24,9516777544496;0,0988256482938417;0,0988907260698085;0,00299939555504264;0,00499954067911849;0,0020009746544612;0,00199959905077002;0,000999549604208065;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;96;7,86739671556841;22,0413726011556;0,100046590657936;0,099654385875337;0,00299869584771928;0,00500018606427259;0,00199945358542743;0,00199916662758171;0,00100043732306758;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;97;12,377817577455;26,3246675510122;0,100195635513146;0,0991739307573859;0,00299890371178218;0,00499968898199592;0,00200080428324386;0,00199995266571658;0,00100023029686566;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;98;12,1179457616434;19,7413869805929;0,0986982419135153;0,100711042426331;0,00300076979106912;0,00499960757656359;0,00200123637518545;0,00199995620075096;0,00100056834818899;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;99;16,2467578082744;18,9033647330537;0,0981850377208266;0,0999041223520317;0,002999605865832;0,00499911999545391;0,00199991327121538;0,00199905572964361;0,00100037371820559;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
